"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10594068","8","1","5","3","0","1","0","3","0","1","1","4","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","5","2","1","0","1","0","0","1","0","0","3","2","2"
"10599862","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","2","2","3","2","0","5","0","0","1","0","0","0"
"10600415","0","0","3","4","0","0","0","1","0","0","2","0","0","8","4","3","0","0","2","1","4","0","1","0","5","2","3","3","4","6","0","3","1","0","3","0","8","1","1","1","1"
"10600999","1","0","7","12","4","2","2","3","1","2","1","1","0","2","5","3","0","12","2","0","1","1","1","0","3","2","3","2","9","3","0","2","0","0","1","1","1","1","2","1","1"
"10601675","6","0","1","2","0","0","0","1","1","0","0","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"10601743","0","0","0","2","0","1","1","1","1","0","0","0","0","1","3","3","0","1","6","0","0","0","0","0","3","3","4","4","1","2","1","2","3","0","3","0","2","1","0","0","5"
"10617288","0","0","1","3","1","0","0","0","0","0","0","0","0","0","1","1","0","1","4","0","0","0","0","0","1","1","2","1","2","5","3","7","3","4","6","2","3","5","1","0","1"
"10619415","0","1","1","2","0","0","1","1","0","0","1","0","0","5","2","1","0","1","0","0","1","0","2","0","1","0","0","0","2","6","0","0","3","0","3","0","8","1","1","0","1"
"10619416","3","1","7","9","2","1","0","1","0","2","1","1","1","1","1","0","1","7","2","0","2","1","0","1","2","3","1","1","5","1","1","2","4","0","3","0","2","0","3","0","3"
"10624956","0","0","0","1","0","0","0","2","0","1","1","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","1","1","5","1","2","0","1"
"10632617","4","0","5","5","4","0","0","0","0","0","0","0","0","2","1","2","0","8","5","0","1","0","0","0","1","0","0","0","6","4","4","2","3","0","0","1","1","0","1","1","1"
"10634893","2","2","1","1","0","0","1","0","0","0","1","1","1","2","0","2","2","0","1","0","2","0","0","0","2","0","2","0","4","1","1","2","2","0","6","0","5","4","2","0","0"
"10634894","1","0","1","2","0","0","0","0","0","2","2","0","0","2","0","0","3","1","0","0","0","0","0","0","1","1","1","1","2","2","1","1","0","0","0","0","0","0","1","1","1"
"10643726","5","2","4","2","0","2","2","3","1","1","4","1","3","2","0","0","1","0","1","0","0","0","1","0","0","0","0","0","2","2","2","0","2","0","2","1","1","1","1","1","2"
"10643727","2","0","0","1","0","0","0","1","0","0","0","0","0","1","2","1","1","0","0","2","2","0","0","0","0","1","0","0","0","4","2","2","1","0","0","0","1","0","0","1","1"
"10643729","0","0","1","4","1","0","0","1","0","0","0","0","1","2","1","0","1","2","0","0","9","1","2","0","10","3","5","5","8","2","0","1","2","0","0","0","2","0","0","0","0"
"10648437","1","0","3","3","1","0","1","1","0","0","0","0","0","1","5","5","0","2","7","0","0","0","1","0","0","0","0","0","1","3","4","1","4","0","1","2","0","0","0","1","1"
"10648446","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","2","0","2","0","3","1","1","0","1"
"10659849","4","0","1","2","1","0","0","1","0","0","0","0","0","1","0","3","1","1","2","0","1","0","0","0","1","0","0","0","1","4","5","3","8","0","0","0","0","0","0","0","0"
"10666552","1","1","4","4","0","1","1","2","0","1","3","2","0","5","0","0","0","3","0","0","3","0","1","0","3","0","1","0","8","5","0","0","3","0","1","1","4","1","2","1","1"
"10666559","1","1","4","4","0","1","1","2","0","1","3","2","0","5","0","0","0","3","0","0","3","0","1","0","3","0","1","0","8","5","0","0","3","0","1","1","4","1","2","1","1"
"10666562","3","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","4","4","1","0","1","0","2","0","2","0","2","1","1","1","0","1","0","3","1","0","0","0"
"10669519","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","5","0","2","1","0","0","2","0","1","0","2","4","5","3","7","0","2","0","5","1","1","2","1"
"10677559","2","0","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","4","1","3","1","2","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10678698","0","0","0","2","0","0","0","0","0","0","0","0","0","1","2","1","0","0","3","0","0","0","0","0","1","1","1","2","0","1","2","2","3","0","3","0","2","1","1","0","3"
"10679185","3","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","1","1","0","0","1","0","0","0","2","1","1","1","2","1","0","1","2","0","8","0","4","3","0","0","1"
"10679187","2","0","2","4","1","0","0","0","0","0","0","0","0","0","1","2","0","3","4","0","1","0","0","0","2","1","2","1","2","3","2","5","4","2","6","1","1","5","0","1","1"
